
Timeout                                  :10
Think Time                               :4
Number of Requests                       :120
Number of User                           :10
DBMS Service Mean Time                   :1
Web Server Service Mean Time             :0.1
Round Robin Quantum Time                 :0.05
Interarrival Mean Time                   :1
Web Cores                                :8
Web Queue Size                           :100
Departure Probaility of web              :50
DBMS Cores                               :4
DBMS Queue Size                          :100
Probability Type                         :1
------------------------------------------------------------------------------------------------------------------------------------------------------
simTime				Request ID				Event_type				Queue Size				Server Type				Next station
------------------------------------------------------------------------------------------------------------------------------------------------------
0.00742					97.00000				Departure				0				Client Station				Web Server				
0.00852					16.00000				Departure				0				Client Station				Web Server				
0.01219					50.00000				Departure				0				Client Station				Web Server				
0.01253				16.00000				Departure				NA				Web Server				Client Station				
0.01611					115.00000				Departure				0				Client Station				Web Server				
0.01892					90.00000				Departure				0				Client Station				Web Server				
0.02093					26.00000				Departure				0				Client Station				Web Server				
0.02310					72.00000				Departure				0				Client Station				Web Server				
0.03383					19.00000				Departure				0				Client Station				Web Server				
0.04011				50.00000				Departure				0				Web Server				DBMS Server				
0.04198				115.00000				Departure				NA				Web Server				Client Station				
0.04336					58.00000				Departure				0				Client Station				Web Server				
0.05128				19.00000				Departure				0				Web Server				DBMS Server				
0.05742				97.00000				Scheduling				0				Web Server				Web Server				
0.06091				90.00000				Departure				NA				Web Server				Client Station				
0.06227				97.00000				Departure				NA				Web Server				Client Station				
0.06253				26.00000				Scheduling				0				Web Server				Web Server				
0.06253				72.00000				Scheduling				0				Web Server				Web Server				
0.06308				72.00000				Departure				NA				Web Server				Client Station				
0.06678					80.00000				Departure				0				Client Station				Web Server				
0.07280				50.00000				Arrival					0				DBMS Server				Web Server				
0.07374					34.00000				Departure				0				Client Station				Web Server				
0.07886				19.00000				Arrival					0				DBMS Server				Web Server				
0.08366					1.00000				Departure				0				Client Station				Web Server				
0.08521				58.00000				Departure				0				Web Server				DBMS Server				
0.09249					11.00000				Departure				0				Client Station				Web Server				
0.09577				50.00000				Departure				0				Web Server				DBMS Server				
0.09663					2.00000				Departure				1				Client Station				Web Server				
0.10045				11.00000				Departure				NA				Web Server				Client Station				
0.10045				2.00000				Departure				0				Web Server				DBMS Server				
0.09904				2.00000				Arrival					0				DBMS Server				Web Server				
0.10183				19.00000				Departure				0				Web Server				DBMS Server				
0.10219				1.00000				Departure				0				Web Server				DBMS Server				
0.10713					21.00000				Departure				1				Client Station				Web Server				
0.10745					81.00000				Departure				2				Client Station				Web Server				
0.10822					69.00000				Departure				3				Client Station				Web Server				
0.10846				26.00000				Departure				1				Web Server				DBMS Server				
0.11155				50.00000				Arrival					3				DBMS Server				Web Server				
0.11155				26.00000				Arrival					3				DBMS Server				Web Server				
0.11195					114.00000				Departure				4				Client Station				Web Server				
0.11240					107.00000				Departure				5				Client Station				Web Server				
0.11308				80.00000				Scheduling				5				Web Server				Web Server				
0.11308				34.00000				Scheduling				5				Web Server				Web Server				
0.11308				21.00000				Departure				NA				Web Server				Client Station				
0.11308				81.00000				Departure				0				Web Server				DBMS Server				
0.11308				69.00000				Departure				1				Web Server				DBMS Server				
0.12063				2.00000				Departure				NA				Web Server				Client Station				
0.12063				114.00000				Departure				2				Web Server				DBMS Server				
0.12209				58.00000				Arrival					3				DBMS Server				Web Server				
0.12209				69.00000				Arrival					3				DBMS Server				Web Server				
0.12209				114.00000				Arrival					3				DBMS Server				Web Server				
0.12945					75.00000				Departure				4				Client Station				Web Server				
0.13492					74.00000				Departure				5				Client Station				Web Server				
0.13779				19.00000				Arrival					5				DBMS Server				Web Server				
0.13815				1.00000				Arrival					5				DBMS Server				Web Server				
0.13865				81.00000				Arrival					5				DBMS Server				Web Server				
0.14115				50.00000				Departure				0				Web Server				DBMS Server				
0.14773				81.00000				Departure				0				Web Server				DBMS Server				
0.15836					91.00000				Departure				6				Client Station				Web Server				
0.15846				26.00000				Scheduling				6				Web Server				Web Server				
0.15846				107.00000				Departure				NA				Web Server				Client Station				
0.15846				80.00000				Scheduling				5				Web Server				Web Server				
0.15938				19.00000				Departure				NA				Web Server				Client Station				
0.15938				75.00000				Departure				0				Web Server				DBMS Server				
0.14440				75.00000				Arrival					4				DBMS Server				Web Server				
0.15974				1.00000				Departure				NA				Web Server				Client Station				
0.15974				74.00000				Departure				NA				Web Server				Client Station				
0.15974				91.00000				Departure				0				Web Server				DBMS Server				
0.15475				91.00000				Arrival					2				DBMS Server				Web Server				
0.16279					12.00000				Departure				3				Client Station				Web Server				
0.16387				58.00000				Departure				0				Web Server				DBMS Server				
0.16514				75.00000				Departure				NA				Web Server				Client Station				
0.16514				26.00000				Scheduling				2				Web Server				Web Server				
0.16574				81.00000				Arrival					2				DBMS Server				Web Server				
0.16671					45.00000				Departure				3				Client Station				Web Server				
0.17008				91.00000				Departure				0				Web Server				DBMS Server				
0.17063				69.00000				Scheduling				3				Web Server				Web Server				
0.17063				114.00000				Scheduling				3				Web Server				Web Server				
0.17063				12.00000				Departure				NA				Web Server				Client Station				
0.17063				45.00000				Departure				NA				Web Server				Client Station				
0.17063				69.00000				Scheduling				1				Web Server				Web Server				
0.17134				50.00000				Arrival					1				DBMS Server				Web Server				
0.17326				80.00000				Departure				NA				Web Server				Client Station				
0.17326				69.00000				Scheduling				0				Web Server				Web Server				
0.17609				91.00000				Arrival					0				DBMS Server				Web Server				
0.17621				114.00000				Departure				NA				Web Server				Client Station				
0.17997				34.00000				Departure				0				Web Server				DBMS Server				
0.18360				91.00000				Departure				NA				Web Server				Client Station				
0.19074					99.00000				Departure				0				Client Station				Web Server				
0.19093				69.00000				Departure				NA				Web Server				Client Station				
0.19224				81.00000				Departure				0				Web Server				DBMS Server				
0.19510					29.00000				Departure				0				Client Station				Web Server				
0.19798				58.00000				Arrival					0				DBMS Server				Web Server				
0.20318				81.00000				Arrival					0				DBMS Server				Web Server				
0.20332				50.00000				Departure				NA				Web Server				Client Station				
0.20428					18.00000				Departure				0				Client Station				Web Server				
0.21100					108.00000				Departure				0				Client Station				Web Server				
0.21590					73.00000				Departure				1				Client Station				Web Server				
0.21656				26.00000				Departure				0				Web Server				DBMS Server				
0.21933				81.00000				Departure				0				Web Server				DBMS Server				
0.23028				81.00000				Arrival					1				DBMS Server				Web Server				
0.23360				99.00000				Scheduling				1				Web Server				Web Server				
0.23360				73.00000				Departure				NA				Web Server				Client Station				
0.23360				99.00000				Scheduling				0				Web Server				Web Server				
0.23547				58.00000				Departure				0				Web Server				DBMS Server				
0.24224				29.00000				Scheduling				0				Web Server				Web Server				
0.24563				99.00000				Departure				0				Web Server				DBMS Server				
0.24643				81.00000				Departure				NA				Web Server				Client Station				
0.24760				34.00000				Arrival					0				DBMS Server				Web Server				
0.24932					86.00000				Departure				0				Client Station				Web Server				
0.25099				108.00000				Departure				NA				Web Server				Client Station				
0.25332				18.00000				Scheduling				0				Web Server				Web Server				
0.26343					54.00000				Departure				0				Client Station				Web Server				
0.27064				54.00000				Departure				0				Web Server				DBMS Server				
0.27050				54.00000				Arrival					0				DBMS Server				Web Server				
0.27073				86.00000				Departure				NA				Web Server				Client Station				
0.27314					41.00000				Departure				0				Client Station				Web Server				
0.27352				58.00000				Arrival					0				DBMS Server				Web Server				
0.27470				18.00000				Departure				NA				Web Server				Client Station				
0.27752					65.00000				Departure				0				Client Station				Web Server				
0.28239				29.00000				Departure				NA				Web Server				Client Station				
0.28795				54.00000				Departure				NA				Web Server				Client Station				
0.29232				99.00000				Arrival					0				DBMS Server				Web Server				
0.29536					59.00000				Departure				0				Client Station				Web Server				
0.29643				34.00000				Scheduling				0				Web Server				Web Server				
0.29911				26.00000				Arrival					0				DBMS Server				Web Server				
0.31238					52.00000				Departure				0				Client Station				Web Server				
0.31396				58.00000				Departure				NA				Web Server				Client Station				
0.31794				34.00000				Departure				0				Web Server				DBMS Server				
0.32073				41.00000				Scheduling				0				Web Server				Web Server				
0.32470				65.00000				Scheduling				0				Web Server				Web Server				
0.32746				41.00000				Departure				0				Web Server				DBMS Server				
0.33780					98.00000				Departure				0				Client Station				Web Server				
0.33732				98.00000				Departure				0				Web Server				DBMS Server				
0.30897				98.00000				Arrival					0				DBMS Server				Web Server				
0.33795				99.00000				Scheduling				0				Web Server				Web Server				
0.33795				59.00000				Scheduling				0				Web Server				Web Server				
0.34643				26.00000				Scheduling				0				Web Server				Web Server				
0.34643				52.00000				Scheduling				0				Web Server				Web Server				
0.34718				98.00000				Departure				NA				Web Server				Client Station				
0.34999				99.00000				Departure				0				Web Server				DBMS Server				
0.35584				41.00000				Arrival					0				DBMS Server				Web Server				
0.35682				59.00000				Departure				NA				Web Server				Client Station				
0.35873					110.00000				Departure				0				Client Station				Web Server				
0.35948					117.00000				Departure				0				Client Station				Web Server				
0.36130					48.00000				Departure				1				Client Station				Web Server				
0.36684				117.00000				Departure				NA				Web Server				Client Station				
0.36684				48.00000				Departure				NA				Web Server				Client Station				
0.37062				34.00000				Arrival					0				DBMS Server				Web Server				
0.37112					43.00000				Departure				0				Client Station				Web Server				
0.37416				65.00000				Departure				0				Web Server				DBMS Server				
0.37684					113.00000				Departure				1				Client Station				Web Server				
0.37823				52.00000				Departure				0				Web Server				DBMS Server				
0.37920					32.00000				Departure				2				Client Station				Web Server				
0.39236				26.00000				Departure				NA				Web Server				Client Station				
0.39236				113.00000				Departure				0				Web Server				DBMS Server				
0.39555					93.00000				Departure				2				Client Station				Web Server				
0.39999				41.00000				Scheduling				2				Web Server				Web Server				
0.39999				32.00000				Departure				NA				Web Server				Client Station				
0.39999				93.00000				Departure				NA				Web Server				Client Station				
0.39999				41.00000				Scheduling				0				Web Server				Web Server				
0.40158					77.00000				Departure				1				Client Station				Web Server				
0.40247				113.00000				Arrival					1				DBMS Server				Web Server				
0.40672				41.00000				Departure				0				Web Server				DBMS Server				
0.40682				110.00000				Scheduling				1				Web Server				Web Server				
0.40682				77.00000				Departure				1				Web Server				DBMS Server				
0.41114				99.00000				Arrival					1				DBMS Server				Web Server				
