
Timeout                                  :5
Think Time                               :4
Number of Requests                       :300
Number of User                           :10
DBMS Service Mean Time                   :1
Web Server Service Mean Time             :0.75
Round Robin Quantum Time                 :0.3
Interarrival Mean Time                   :0.05
Web Cores                                :8
Web Queue Size                           :100
Departure Probaility of web              :50
DBMS Cores                               :4
DBMS Queue Size                          :100
Probability Type                         :1
------------------------------------------------------------------------------------------------------------------------------------------------------
simTime				Request ID				Event_type				Queue Size				Server Type				Next station
------------------------------------------------------------------------------------------------------------------------------------------------------
0.00043					16.00000				Departure				0				Client Station				Web Server				
0.00105					26.00000				Departure				0				Client Station				Web Server				
0.00169					19.00000				Departure				0				Client Station				Web Server				
0.00418					1.00000				Departure				0				Client Station				Web Server				
0.00462					11.00000				Departure				0				Client Station				Web Server				
0.00483					2.00000				Departure				0				Client Station				Web Server				
0.00536					21.00000				Departure				0				Client Station				Web Server				
0.00814					12.00000				Departure				0				Client Station				Web Server				
0.00976					29.00000				Departure				1				Client Station				Web Server				
0.01021					18.00000				Departure				2				Client Station				Web Server				
0.02167					0.00000				Departure				3				Client Station				Web Server				
0.02169					9.00000				Departure				4				Client Station				Web Server				
0.02280					5.00000				Departure				5				Client Station				Web Server				
0.02707					23.00000				Departure				6				Client Station				Web Server				
0.02850					10.00000				Departure				7				Client Station				Web Server				
0.02999					7.00000				Departure				8				Client Station				Web Server				
0.03238					4.00000				Departure				9				Client Station				Web Server				
0.03381					28.00000				Departure				10				Client Station				Web Server				
0.03793					17.00000				Departure				11				Client Station				Web Server				
0.03875				16.00000				Departure				0				Web Server				DBMS Server				
0.04078					24.00000				Departure				12				Client Station				Web Server				
0.04116					6.00000				Departure				13				Client Station				Web Server				
0.04298					22.00000				Departure				14				Client Station				Web Server				
0.04565					14.00000				Departure				15				Client Station				Web Server				
0.04722					3.00000				Departure				16				Client Station				Web Server				
0.04730					13.00000				Departure				17				Client Station				Web Server				
0.04774					20.00000				Departure				18				Client Station				Web Server				
0.04776					8.00000				Departure				19				Client Station				Web Server				
0.04812					27.00000				Departure				20				Client Station				Web Server				
0.04849					25.00000				Departure				21				Client Station				Web Server				
0.04980					15.00000				Departure				22				Client Station				Web Server				
0.05842				21.00000				Departure				0				Web Server				DBMS Server				
0.07707				16.00000				Arrival					22				DBMS Server				Web Server				
0.09674				21.00000				Arrival					22				DBMS Server				Web Server				
0.09674				16.00000				Departure				NA				Web Server				Client Station				
0.09674				29.00000				Departure				NA				Web Server				Client Station				
0.09674				18.00000				Departure				NA				Web Server				Client Station				
0.09674				0.00000				Departure				0				Web Server				DBMS Server				
0.11470				11.00000				Departure				0				Web Server				DBMS Server				
0.11641				21.00000				Departure				NA				Web Server				Client Station				
0.11641				9.00000				Departure				0				Web Server				DBMS Server				
0.15180				2.00000				Departure				0				Web Server				DBMS Server				
0.21102				11.00000				Arrival					18				DBMS Server				Web Server				
0.24812				2.00000				Arrival					18				DBMS Server				Web Server				
0.26608				11.00000				Departure				NA				Web Server				Client Station				
0.26608				5.00000				Departure				0				Web Server				DBMS Server				
0.29102				19.00000				Departure				0				Web Server				DBMS Server				
0.29370				1.00000				Departure				NA				Web Server				Client Station				
0.29370				23.00000				Departure				1				Web Server				DBMS Server				
0.29754				0.00000				Arrival					16				DBMS Server				Web Server				
0.29754				23.00000				Arrival					16				DBMS Server				Web Server				
0.30043				12.00000				Scheduling				16				Web Server				Web Server				
0.30043				26.00000				Scheduling				16				Web Server				Web Server				
0.30043				10.00000				Departure				NA				Web Server				Client Station				
0.30043				7.00000				Departure				NA				Web Server				Client Station				
0.30043				4.00000				Departure				0				Web Server				DBMS Server				
0.30043				28.00000				Departure				1				Web Server				DBMS Server				
0.30318				2.00000				Departure				2				Web Server				DBMS Server				
0.31049				5.00000				Arrival					14				DBMS Server				Web Server				
0.31049				28.00000				Arrival					14				DBMS Server				Web Server				
0.31049				2.00000				Arrival					14				DBMS Server				Web Server				
0.34613				23.00000				Departure				NA				Web Server				Client Station				
0.34613				17.00000				Departure				0				Web Server				DBMS Server				
0.36518				17.00000				Arrival					13				DBMS Server				Web Server				
0.36555				5.00000				Departure				0				Web Server				DBMS Server				
0.40082				17.00000				Departure				NA				Web Server				Client Station				
0.40082				24.00000				Departure				1				Web Server				DBMS Server				
0.42756				5.00000				Arrival					12				DBMS Server				Web Server				
0.42756				24.00000				Arrival					12				DBMS Server				Web Server				
0.45455				2.00000				Departure				0				Web Server				DBMS Server				
0.46320				5.00000				Departure				NA				Web Server				Client Station				
